"Time Period","Operator","Number of recorded station stops","Early","On Time within 59 seconds","Time to 3","Time to 5","Time to 10","Time to 15","Time to 20","Time to 30","15 minutes plus","20 minutes plus","30 minutes plus","MAT Number of recorded station stops","Early MAA","On time within 59 seconds MAA","Time to 3 MAA","Time to 5 MAA","Time to 10 MAA","Time to 15 MAA","Time to 20 MAA","Time to 30 MAA","15 minutes plus MAA","20 minutes plus MAA","30 minutes plus MAA"
"Apr 2014 to Mar 2015 (Period 01)","Great Britain","4736697","35.64","68.70","88.43","94.38","98.23","99.17","99.55","99.83","0.83","0.45","0.17","4736697","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 02)","Great Britain","5061146","35.05","67.70","87.50","93.69","97.91","98.98","99.42","99.77","1.02","0.58","0.23","9797843","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 03)","Great Britain","5084203","35.00","67.67","87.43","93.65","97.89","98.99","99.45","99.79","1.01","0.55","0.21","14882046","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 04)","Great Britain","5123892","34.09","66.16","86.44","93.08","97.67","98.87","99.37","99.76","1.13","0.63","0.24","20005938","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 05)","Great Britain","5131680","32.78","63.95","84.38","91.54","97.03","98.56","99.20","99.69","1.44","0.80","0.31","25137618","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 06)","Great Britain","5091106","35.61","67.94","87.76","93.95","98.06","99.07","99.47","99.78","0.93","0.53","0.22","30228724","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 07)","Great Britain","5096271","32.53","63.95","84.87","92.26","97.58","98.86","99.35","99.74","1.14","0.65","0.26","35324995","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 08)","Great Britain","5080172","26.88","55.55","77.99","87.57","95.85","98.16","99.04","99.67","1.84","0.96","0.33","40405167","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 09)","Great Britain","5082081","27.86","56.96","79.44","88.74","96.34","98.35","99.12","99.67","1.65","0.88","0.33","45487248","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 10)","Great Britain","4503637","31.53","62.08","83.09","90.87","96.89","98.48","99.12","99.65","1.52","0.88","0.35","49990885","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 11)","Great Britain","5059874","32.76","63.38","83.77","91.22","97.02","98.57","99.21","99.70","1.43","0.79","0.30","55050759","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 12)","Great Britain","5118242","34.23","65.83","86.17","92.98","97.79","98.99","99.46","99.80","1.01","0.54","0.20","60169001","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]","[z]"
"Apr 2014 to Mar 2015 (Period 13)","Great Britain","5603124","36.06","67.79","87.18","93.49","97.85","98.95","99.41","99.77","1.05","0.59","0.23","65772125","33.10","64.46","84.98","92.12","97.40","98.77","99.32","99.74","1.23","0.68","0.26"
"Apr 2015 to Mar 2016 (Period 01)","Great Britain","5835742","35.83","67.76","87.33","93.52","97.80","98.89","99.35","99.72","1.11","0.65","0.28","66871170","33.16","64.45","84.94","92.08","97.37","98.75","99.31","99.73","1.25","0.69","0.27"
"Apr 2015 to Mar 2016 (Period 02)","Great Britain","5096640","35.77","67.85","87.56","93.74","97.97","99.04","99.47","99.80","0.96","0.53","0.20","66906664","33.22","64.46","84.94","92.09","97.38","98.76","99.31","99.73","1.24","0.69","0.27"
"Apr 2015 to Mar 2016 (Period 03)","Great Britain","5176193","35.24","67.23","87.17","93.50","97.91","99.02","99.46","99.80","0.98","0.54","0.20","66998654","33.24","64.43","84.93","92.08","97.38","98.76","99.31","99.74","1.24","0.69","0.26"
"Apr 2015 to Mar 2016 (Period 04)","Great Britain","5134618","33.23","64.31","84.91","91.96","97.17","98.60","99.20","99.69","1.40","0.80","0.31","67009380","33.17","64.29","84.81","91.99","97.34","98.74","99.30","99.73","1.26","0.70","0.27"
"Apr 2015 to Mar 2016 (Period 05)","Great Britain","5162765","34.04","65.60","86.06","92.82","97.57","98.81","99.32","99.72","1.19","0.68","0.28","67040465","33.27","64.42","84.94","92.09","97.38","98.76","99.31","99.73","1.24","0.69","0.27"
"Apr 2015 to Mar 2016 (Period 06)","Great Britain","5132345","34.88","66.30","86.85","93.49","97.94","99.03","99.47","99.79","0.97","0.53","0.21","67081704","33.21","64.30","84.87","92.06","97.38","98.76","99.31","99.73","1.24","0.69","0.27"
"Apr 2015 to Mar 2016 (Period 07)","Great Britain","5181686","32.04","62.93","84.45","92.11","97.61","98.91","99.39","99.76","1.09","0.61","0.24","67167119","33.18","64.22","84.84","92.04","97.38","98.76","99.31","99.74","1.24","0.69","0.26"
"Apr 2015 to Mar 2016 (Period 08)","Great Britain","5209641","26.42","54.71","77.71","87.56","95.92","98.18","99.07","99.69","1.82","0.93","0.31","67296588","33.13","64.13","84.80","92.03","97.38","98.76","99.31","99.74","1.24","0.69","0.26"
"Apr 2015 to Mar 2016 (Period 09)","Great Britain","5243191","25.62","53.21","76.23","86.43","95.36","97.85","98.84","99.57","2.15","1.16","0.43","67457698","32.94","63.83","84.54","91.85","97.30","98.72","99.29","99.73","1.28","0.71","0.27"
"Apr 2015 to Mar 2016 (Period 10)","Great Britain","4679115","31.29","61.37","82.57","90.47","96.62","98.30","99.03","99.61","1.70","0.97","0.39","67633176","32.92","63.77","84.50","91.82","97.28","98.71","99.29","99.73","1.29","0.71","0.27"
"Apr 2015 to Mar 2016 (Period 11)","Great Britain","5292238","31.39","61.89","83.31","91.15","97.12","98.64","99.25","99.71","1.36","0.75","0.29","67865540","32.81","63.65","84.46","91.81","97.29","98.71","99.29","99.73","1.29","0.71","0.27"
"Apr 2015 to Mar 2016 (Period 12)","Great Britain","5271936","32.10","62.98","84.33","91.80","97.24","98.63","99.22","99.67","1.37","0.78","0.33","68019234","32.65","63.44","84.32","91.72","97.25","98.68","99.27","99.72","1.32","0.73","0.28"
"Apr 2015 to Mar 2016 (Period 13)","Great Britain","4796167","33.99","65.62","86.18","93.04","97.80","98.97","99.43","99.77","1.03","0.57","0.23","67212277","32.46","63.23","84.22","91.67","97.24","98.68","99.27","99.72","1.32","0.73","0.28"
"Apr 2016 to Mar 2017 (Period 01)","Great Britain","5731716","35.02","67.11","87.31","93.74","98.04","99.05","99.47","99.79","0.95","0.53","0.21","67108251","32.39","63.17","84.21","91.68","97.26","98.70","99.28","99.72","1.30","0.72","0.28"
"Apr 2016 to Mar 2017 (Period 02)","Great Britain","5311404","33.91","65.45","85.87","92.72","97.64","98.88","99.39","99.77","1.12","0.61","0.23","67323015","32.25","62.99","84.09","91.61","97.23","98.69","99.27","99.72","1.31","0.73","0.28"
"Apr 2016 to Mar 2017 (Period 03)","Great Britain","5211807","32.85","63.51","83.90","91.08","96.60","98.19","98.91","99.53","1.81","1.09","0.47","67358629","32.07","62.71","83.84","91.42","97.13","98.62","99.23","99.70","1.38","0.77","0.30"
"Apr 2016 to Mar 2017 (Period 04)","Great Britain","5307693","32.13","62.80","83.71","91.09","96.69","98.27","98.98","99.57","1.73","1.02","0.43","67531704","31.99","62.59","83.75","91.36","97.09","98.60","99.21","99.69","1.40","0.79","0.31"
"Apr 2016 to Mar 2017 (Period 05)","Great Britain","5306790","32.48","63.19","84.30","91.76","97.22","98.65","99.25","99.72","1.35","0.75","0.28","67675729","31.87","62.41","83.61","91.28","97.07","98.58","99.21","99.69","1.42","0.79","0.31"
"Apr 2016 to Mar 2017 (Period 06)","Great Britain","5360419","31.23","61.35","82.75","90.58","96.57","98.23","98.98","99.59","1.77","1.02","0.41","67903803","31.59","62.03","83.30","91.05","96.96","98.52","99.17","99.67","1.48","0.83","0.33"
"Apr 2016 to Mar 2017 (Period 07)","Great Britain","5407278","31.25","61.43","83.41","91.50","97.40","98.84","99.39","99.78","1.16","0.61","0.22","68129395","31.53","61.92","83.22","91.01","96.95","98.52","99.17","99.68","1.48","0.83","0.32"
"Apr 2016 to Mar 2017 (Period 08)","Great Britain","5379600","27.50","56.05","78.86","88.34","96.17","98.27","99.09","99.67","1.73","0.91","0.33","68299354","31.60","62.01","83.30","91.06","96.96","98.52","99.17","99.67","1.48","0.83","0.33"
"Apr 2016 to Mar 2017 (Period 09)","Great Britain","5394156","23.48","49.65","72.54","83.35","93.76","96.99","98.35","99.38","3.01","1.65","0.62","68450319","31.42","61.71","82.99","90.81","96.84","98.46","99.13","99.66","1.54","0.87","0.34"
"Apr 2016 to Mar 2017 (Period 10)","Great Britain","4871009","31.46","61.55","82.99","90.86","96.99","98.58","99.24","99.73","1.42","0.76","0.27","68642213","31.43","61.72","83.02","90.84","96.86","98.48","99.15","99.67","1.52","0.85","0.33"
"Apr 2016 to Mar 2017 (Period 11)","Great Britain","5379018","32.02","62.05","83.00","90.73","96.77","98.41","99.10","99.63","1.59","0.90","0.37","68728993","31.48","61.73","83.00","90.80","96.83","98.46","99.14","99.66","1.54","0.86","0.34"
